FullDate,Season,PlayDay,DateKey
1970-01-25,1969,20,457
1970-01-31,1969,21,458
1970-02-01,1969,21,459
1970-02-07,1969,22,460
1970-02-08,1969,22,461
1970-02-15,1969,23,462
1970-03-29,1969,23,463
1970-02-28,1969,24,464
1970-03-01,1969,24,465
1970-03-07,1969,25,466
1970-03-08,1969,25,467
1970-03-26,1969,25,468
1970-03-27,1969,25,469
1970-03-28,1969,25,470
1970-03-29,1969,25,471
1970-03-14,1969,26,472
1970-03-15,1969,26,473
1970-04-04,1969,27,474
1970-04-05,1969,27,475
1970-03-21,1969,28,476
1970-03-22,1969,28,477
1970-04-11,1969,28,478
1970-04-12,1969,28,479
1970-04-18,1969,29,480
1970-04-19,1969,29,481
1970-04-25,1969,30,482
1970-04-26,1969,30,483
1970-09-05,1970,1,484
1970-09-06,1970,1,485
1970-09-11,1970,2,486
1970-09-12,1970,2,487
1970-09-13,1970,2,488
1970-09-19,1970,3,489
1970-09-20,1970,3,490
1970-09-26,1970,4,491
1970-09-27,1970,4,492
1970-10-03,1970,5,493
1970-10-04,1970,5,494
1970-10-10,1970,6,495
1970-10-11,1970,6,496
1970-10-17,1970,7,497
1970-10-18,1970,7,498
1970-10-24,1970,8,499
1970-10-25,1970,8,500
1970-10-31,1970,9,501
1970-11-01,1970,9,502
1970-11-07,1970,10,503
1970-11-08,1970,10,504
1970-11-21,1970,11,505
1970-11-22,1970,11,506
1970-11-28,1970,12,507
1970-11-29,1970,12,508
1970-12-06,1970,13,509
1970-12-12,1970,14,510
1970-12-13,1970,14,511
1970-12-20,1970,15,512
1971-01-09,1970,16,513
1971-01-10,1970,16,514
1971-01-16,1970,17,515
1971-01-17,1970,17,516
1971-01-23,1970,18,517
1971-01-24,1970,18,518
1971-02-06,1970,19,519
1971-02-07,1970,19,520
1971-02-20,1970,20,521
1971-02-21,1970,20,522
1971-02-27,1970,21,523
1971-02-28,1970,21,524
1971-04-07,1970,22,525
1971-04-08,1970,22,526
1971-04-10,1970,22,527
1971-04-11,1970,22,528
1971-04-21,1970,22,529
1971-03-13,1970,23,530
1971-03-14,1970,23,531
1971-03-20,1970,24,532
1971-03-21,1970,24,533
1971-03-27,1970,25,534
1971-03-28,1970,25,535
1971-04-02,1970,26,536
1971-04-03,1970,26,537
1971-04-04,1970,26,538
1971-04-17,1970,27,539
1971-04-18,1970,27,540
1971-04-24,1970,28,541
1971-04-25,1970,28,542
1971-05-01,1970,29,543
1971-05-02,1970,29,544
1971-05-08,1970,30,545
1971-05-09,1970,30,546
1971-09-03,1971,1,547
1971-09-04,1971,1,548
1971-09-05,1971,1,549
1971-09-11,1971,2,550
1971-09-12,1971,2,551
1971-09-18,1971,3,552
1971-09-19,1971,3,553
1971-09-24,1971,4,554
1971-09-26,1971,4,555
1971-10-02,1971,5,556
1971-10-03,1971,5,557
1971-10-09,1971,6,558
1971-10-10,1971,6,559
1971-10-16,1971,7,560
1971-10-17,1971,7,561
1971-10-24,1971,8,562
1971-10-30,1971,9,563
1971-10-31,1971,9,564
1971-11-14,1971,10,565
1971-11-27,1971,11,566
1971-11-28,1971,11,567
1971-12-04,1971,12,568
1971-12-05,1971,12,569
1971-12-11,1971,13,570
1971-12-12,1971,13,571
1971-12-19,1971,14,572
1972-01-08,1971,15,573
1972-01-09,1971,15,574
1972-01-16,1971,16,575
1972-01-23,1971,17,576
1972-04-02,1971,17,577
1972-01-30,1971,18,578
1972-02-05,1971,19,579
1972-02-06,1971,19,580
1972-02-13,1971,20,581
1972-02-19,1971,21,582
1972-02-20,1971,21,583
1972-02-26,1971,22,584
1972-02-27,1971,22,585
1972-03-04,1971,23,586
1972-03-05,1971,23,587
1972-03-12,1971,24,588
1972-03-18,1971,25,589
1972-03-19,1971,25,590
1972-03-25,1971,26,591
1972-03-26,1971,26,592
1972-04-08,1971,27,593
1972-04-09,1971,27,594
1972-04-15,1971,28,595
1972-04-16,1971,28,596
1972-04-23,1971,29,597
1972-05-07,1971,30,598
1972-09-01,1972,1,599
1972-09-02,1972,1,600
1972-09-03,1972,1,601
1972-09-09,1972,2,602
1972-09-10,1972,2,603
1972-09-16,1972,3,604
1972-09-17,1972,3,605
1972-09-23,1972,4,606
1972-09-24,1972,4,607
1972-10-07,1972,5,608
1972-10-08,1972,5,609
1972-10-14,1972,6,610
1972-10-15,1972,6,611
1972-10-21,1972,7,612
1972-10-22,1972,7,613
1972-10-28,1972,8,614
1972-10-29,1972,8,615
1972-11-04,1972,9,616
1972-11-05,1972,9,617
1972-11-11,1972,10,618
1972-11-12,1972,10,619
1972-11-25,1972,11,620
1972-11-26,1972,11,621
1972-12-02,1972,12,622
1972-12-03,1972,12,623
1972-12-10,1972,13,624
1972-12-16,1972,14,625
1972-12-17,1972,14,626
1973-01-06,1972,15,627
1973-01-07,1972,15,628
1973-01-14,1972,16,629
1973-01-20,1972,17,630
1973-01-21,1972,17,631
1973-01-27,1972,18,632
1973-01-28,1972,18,633
1973-02-03,1972,19,634
1973-02-04,1972,19,635
1973-02-10,1972,20,636
1973-02-11,1972,20,637
1973-02-17,1972,21,638
1973-02-18,1972,21,639
1973-03-03,1972,22,640
1973-03-04,1972,22,641
1973-03-10,1972,23,642
1973-03-11,1972,23,643
1973-03-17,1972,24,644
1973-03-18,1972,24,645
1973-03-24,1972,25,646
1973-03-25,1972,25,647
1973-03-31,1972,26,648
1973-04-01,1972,26,649
1973-04-07,1972,27,650
1973-04-08,1972,27,651
1973-04-14,1972,28,652
1973-04-15,1972,28,653
1973-04-29,1972,29,654
1973-05-06,1972,30,655
1973-08-31,1973,1,656
1973-09-01,1973,1,657
1973-09-08,1973,2,658
1973-09-09,1973,2,659
1973-09-15,1973,3,660
1973-09-16,1973,3,661
1973-09-22,1973,4,662
1973-09-23,1973,4,663
1973-09-29,1973,5,664
1973-09-30,1973,5,665
1973-10-06,1973,6,666
1973-10-07,1973,6,667
1973-10-13,1973,7,668
1973-10-14,1973,7,669
1973-10-20,1973,8,670
1973-10-21,1973,8,671
1973-11-10,1973,9,672
1973-11-11,1973,9,673
1973-11-24,1973,10,674
1973-11-25,1973,10,675
1974-02-23,1973,11,676
1974-02-24,1973,11,677
1974-04-11,1973,11,678
1974-04-12,1973,11,679
1974-04-14,1973,11,680
1973-12-08,1973,12,681
1973-12-09,1973,12,682
1973-12-15,1973,13,683
1973-12-22,1973,14,684
1973-12-23,1973,14,685
1974-01-05,1973,15,686
1974-01-12,1973,16,687
1974-01-19,1973,17,688
1974-01-20,1973,17,689
1974-01-25,1973,18,690
1974-01-26,1973,18,691
1974-01-27,1973,18,692
1974-02-02,1973,19,693
1974-02-03,1973,19,694
1974-02-09,1973,20,695
1974-02-10,1973,20,696
1974-02-16,1973,21,697
1974-02-17,1973,21,698
1974-03-02,1973,22,699
1974-03-03,1973,22,700
1974-03-09,1973,23,701
1974-03-10,1973,23,702
1974-03-16,1973,24,703
1974-03-17,1973,24,704
1974-03-23,1973,25,705
1974-03-24,1973,25,706
1974-03-30,1973,26,707
1974-03-31,1973,26,708
1974-04-06,1973,27,709
1974-04-07,1973,27,710
1974-04-20,1973,28,711
1974-04-21,1973,28,712
1974-04-28,1973,29,713
1974-05-05,1973,30,714
1974-08-17,1974,1,715
1974-08-18,1974,1,716
1974-08-21,1974,2,717
1974-08-28,1974,3,718
1974-08-31,1974,4,719
1974-09-01,1974,4,720
1974-09-10,1974,5,721
1974-09-11,1974,5,722
1974-10-16,1974,5,723
1974-09-14,1974,6,724
1974-09-15,1974,6,725
1974-09-21,1974,7,726
1974-09-22,1974,7,727
1974-09-28,1974,8,728
1974-09-29,1974,8,729
1974-10-05,1974,9,730
1974-10-06,1974,9,731
1974-10-19,1974,10,732
1974-10-20,1974,10,733
1974-10-26,1974,11,734
1974-10-27,1974,11,735
