MatchKey,GoalTimeRelative,IsHomeTeamGoal,GoalKey
4008948,44,0,238
4008948,52,0,239
4008948,80,0,240
4008958,5,0,241
4008958,37,0,242
4008958,85,0,243
4008958,86,0,244
4008958,89,0,245
4008958,1,1,246
4008958,15,1,247
4008958,35,1,248
4008958,36,1,249
4008958,40,1,250
4008958,67,1,251
4008961,6,0,252
4008961,37,1,253
4008961,86,1,254
4009092,14,1,255
4009092,29,1,256
4009092,37,1,257
4009092,40,1,258
4009092,50,1,259
4009092,54,1,260
4009092,78,1,261
4009092,82,1,262
4009092,90,0,263
4009163,11,1,264
4009163,30,1,265
4009163,47,1,266
4009163,58,1,267
4009163,60,1,268
4009163,85,1,269
4009164,79,1,270
4009165,3,0,271
4009165,17,0,272
4009165,27,0,273
4009165,16,1,274
4009165,38,1,275
4009165,78,1,276
4009167,22,0,277
4009168,20,1,278
4009168,70,1,279
4009168,72,1,280
4009168,11,0,281
4009169,10,1,282
4009169,13,1,283
4009169,44,1,284
4009169,49,1,285
4009169,58,1,286
4009169,61,1,287
4009170,34,0,288
4009170,56,0,289
4009170,12,1,290
4009171,26,0,291
4009171,79,0,292
4009171,62,1,293
4009171,74,1,294
4009172,48,0,295
4009172,76,0,296
4009173,55,0,297
4009173,38,1,298
4009175,29,1,299
4009175,32,1,300
4009175,44,1,301
4009175,53,1,302
4009175,58,1,303
4009175,62,1,304
4009175,77,1,305
4009175,88,1,306
4009175,52,0,307
4009175,74,0,308
4009175,81,0,309
4009177,60,1,310
4009177,67,1,311
4009177,89,1,312
4009179,8,1,313
4009179,22,1,314
4009179,41,1,315
4009179,81,1,316
4009179,49,0,317
4009180,4,0,318
4009180,15,1,319
4009180,42,1,320
4009180,44,1,321
4009180,70,1,322
4009181,56,1,323
4009181,65,1,324
4009181,2,0,325
4009181,59,0,326
4009182,40,0,327
4009182,48,0,328
4009182,55,0,329
4009182,62,0,330
4009182,75,0,331
4009183,25,1,332
4009183,27,1,333
4009183,43,1,334
4009183,74,1,335
4009183,75,1,336
4009183,61,0,337
4009183,64,0,338
4009183,88,0,339
4009184,43,1,340
4009184,69,0,341
4009185,14,1,342
4009185,83,1,343
4009186,13,0,344
4009186,60,1,345
4009186,62,1,346
4009188,87,1,347
4009188,3,0,348
4009188,20,0,349
4009188,40,0,350
4009188,80,0,351
4009190,16,1,352
4009190,40,1,353
4009190,12,0,354
4009190,50,0,355
4009191,22,1,356
4009191,24,1,357
4009191,40,1,358
4009191,58,1,359
4009191,59,1,360
4009191,17,0,361
4009191,72,0,362
4009192,86,0,363
4009192,3,1,364
4009192,32,1,365
4009192,41,1,366
4009194,32,0,367
4009194,58,0,368
4009194,38,1,369
4009194,65,1,370
4009195,10,1,371
4009195,69,1,372
4009197,89,1,373
4009200,48,1,374
4009200,67,1,375
4009200,86,1,376
4009200,54,0,377
4009198,3,0,378
4009198,26,0,379
4009198,60,0,380
4009198,62,1,381
4009275,30,1,382
4009275,43,1,383
4009275,51,1,384
4009275,54,1,385
4009202,9,1,386
4009202,50,1,387
4009202,89,1,388
4009202,25,0,389
4009202,79,0,390
4009206,9,1,391
4009206,40,1,392
4009206,45,1,393
4009206,46,1,394
4009206,51,1,395
4009206,69,1,396
4009206,77,1,397
4009206,86,1,398
4009207,70,1,399
4009207,20,0,400
4009207,65,0,401
4009209,50,0,402
4009240,6,1,403
4009240,12,1,404
4009240,50,1,405
4009240,72,1,406
4009247,52,0,407
4009247,60,0,408
4009247,71,0,409
4009247,9,1,410
4009247,72,1,411
4009247,74,1,412
4009252,60,0,413
4009252,2,1,414
4009252,13,1,415
4009252,16,1,416
4009252,25,1,417
4009252,36,1,418
4009252,43,1,419
4009252,46,1,420
4009252,69,1,421
4009252,78,1,422
4009252,89,1,423
4009267,10,1,424
4009267,30,1,425
4009267,44,1,426
4009267,46,1,427
